JOBID    PARTITION  NAME                                   USER              TIME_LEFT    TIME_LIMIT   START_TIME           ST  NODES  CPUS  NODELIST(REASON)
2014243  cosmos     binary101                              hgulbalkan14      30-22:26:35  30-23:00:00  2020-11-26T19:32:40  R   1      1     ke01
2014135  ai         commands15                             zabali16          23:05:52     1-00:00:00   2020-11-26T19:11:57  R   1      1     ai10
2014107  ai         commands14                             zabali16          23:01:54     1-00:00:00   2020-11-26T19:07:59  R   1      1     ai09
2014097  ai         commands13                             zabali16          22:59:04     1-00:00:00   2020-11-26T19:05:09  R   1      1     ai10
2014076  ai         commands12                             zabali16          22:55:01     1-00:00:00   2020-11-26T19:01:06  R   1      1     ai09
2014059  ai         commands11                             zabali16          22:52:11     1-00:00:00   2020-11-26T18:58:16  R   1      1     ai08
2013362  mid        JupiterNotebook                        khanli            22:11:51     1-00:00:00   2020-11-26T18:17:56  R   1      4     it04
2013877  short      rex-nex                                msayar            11:45        2:00:00      2020-11-26T18:17:50  R   1      30    it02
2013856  short      rex-nex                                msayar            11:07        2:00:00      2020-11-26T18:17:12  R   1      30    ai08
2013844  short      rex-nex                                msayar            5:54         2:00:00      2020-11-26T18:11:59  R   1      30    ai01
2013815  short      rex-nex                                msayar            4:11         2:00:00      2020-11-26T18:10:16  R   1      30    ai05
2013764  short      rex-nex                                msayar            4:06         2:00:00      2020-11-26T18:10:11  R   1      30    ai14
2013816  ai         python                                 asafaya19         21:57:37     1-00:00:00   2020-11-26T18:03:42  R   1      5     ai09
2013794  cosmos     TS3                                    phaslak           3-21:52:58   4-00:00:00   2020-11-26T17:59:03  R   1      1     ke01
2013775  cosmos     TS4                                    phaslak           3-21:49:15   4-00:00:00   2020-11-26T17:55:20  R   1      1     ke01
2013712  ai         commands10                             zabali16          21:35:59     1-00:00:00   2020-11-26T17:42:04  R   1      1     ai03
2013685  ai         commands9                              zabali16          21:30:30     1-00:00:00   2020-11-26T17:36:35  R   1      1     ai02
2013676  ai         commands8                              zabali16          21:27:51     1-00:00:00   2020-11-26T17:33:56  R   1      1     ai02
2013557  ai         commands7                              zabali16          20:54:40     1-00:00:00   2020-11-26T17:00:45  R   1      1     ai02
2013547  ai         commands6                              zabali16          20:51:51     1-00:00:00   2020-11-26T16:57:56  R   1      1     ai02
2013535  ai         JupiterNotebook                        khanli            20:47:06     1-00:00:00   2020-11-26T16:53:11  R   1      4     ai01
2013524  mid        front138                               akozhabergenov18  20:44:37     1-00:00:00   2020-11-26T16:50:42  R   2      34    ai[04,06]
